JAM,AWARD,WINNER,ASSET,THEME
July 2024,Best Use of Theme,River>>>https://sullus.itch.io/,Preheat The Oven>>>https://sullus.itch.io/preheat-the-oven,Cooking
July 2024,Most Creative,River>>>https://sullus.itch.io/&&&Allan>>>https://lantanan.itch.io/,Preheat The Oven>>>https://sullus.itch.io/preheat-the-oven&&&Shitty Chef>>>https://lantanan.itch.io/shitty-chef,Cooking
July 2024,Best In Show,betwixer>>>https://betwixer.itch.io/,Alchemic Crockery>>>https://betwixer.itch.io/alchemic-crockery,Cooking
June 2024,Best Use of Theme,Gavin Hefty>>>https://incarnaation9.itch.io/,Hermit Crab>>>https://incarnaation9.itch.io/hermit-crab,Crab
June 2024,Most Creative,Mags>>>https://magsmarker.itch.io/,Horse Crab>>>https://magsmarker.itch.io/horse-crab,Crab
June 2024,Best In Show,Lou>>>https://loomy.itch.io/,Crab Jar>>>https://loomy.itch.io/jamajune-crab-jar,Crab
May 2024,Best Use of Theme,River>>>https://sullus.itch.io/&&&betwixer>>>https://betwixer.itch.io/,Magical Summon Plants>>>https://sullus.itch.io/summon-plants&&&Jungle Crops>>>https://betwixer.itch.io/jungle-crops,Jungle
May 2024,Most Creative,River>>>https://sullus.itch.io/&&&betwixer>>>https://betwixer.itch.io/,Magical Summon Plants>>>https://sullus.itch.io/summon-plants&&&Jungle Crops>>>https://betwixer.itch.io/jungle-crops,Jungle
May 2024,Best In Show,River>>>https://sullus.itch.io/&&&betwixer>>>https://betwixer.itch.io/,Magical Summon Plants>>>https://sullus.itch.io/summon-plants&&&Jungle Crops>>>https://betwixer.itch.io/jungle-crops,Jungle
April 2024,Best Use of Theme,escaliburn>>>https://escaliburn.itch.io/,A Study on the Seven Theses>>>https://escaliburn.itch.io/a-study-on-the-seven-theses,Monster
April 2024,Most Creative,escaliburn>>>https://escaliburn.itch.io/,A Study on the Seven Theses>>>https://escaliburn.itch.io/a-study-on-the-seven-theses,Monster
April 2024,Best In Show,WURM FUD>>>https://wurmfud.itch.io/&&&Jonathan Gilleland>>>https://jongilleland.itch.io/,F|_@M3S|{ULL>>>https://wurmfud.itch.io/f-m3sull&&&Monster Hunter Sword>>>https://jongilleland.itch.io/jonathan-gilleland-monster-slaying-sword,Monster
March 2024,Best Use of Theme,Skrimbus>>>https://skrimbus.itch.io/,Astral Tiles>>>https://skrimbus.itch.io/astral-tiles,Celestial
March 2024,Most Creative,Katie Monte>>>https://katiepunk.itch.io/,Nova Nouveau - The Astral Emporium>>>https://katiepunk.itch.io/nova-nouveau-the-astral-emporium,Celestial
March 2024,Best In Show,Skrimbus>>>https://skrimbus.itch.io/,Astral Tiles>>>https://skrimbus.itch.io/astral-tiles,Celestial
February 2024,Best Use of Theme,Katie Monte>>>https://katiepunk.itch.io/,The Sewers>>>https://katiepunk.itch.io/the-sewers,Danger!
February 2024,Most Creative,betwixer>>>https://betwixer.itch.io/,Friendly Notification>>>https://betwixer.itch.io/friendly-notification,Danger!
February 2024,Best In Show,Katie Monte>>>https://katiepunk.itch.io/,The Sewers>>>https://katiepunk.itch.io/the-sewers,Danger!
January 2024,Best Use of Theme,Sullus>>>https://sullus.itch.io/&&&Skrimbus>>>https://skrimbus.itch.io/,Bug Swarm>>>https://sullus.itch.io/bug-swarm-warning-bugs&&&Weevils>>>https://skrimbus.itch.io/two-weevils,Bug
January 2024,Most Creative,Katie Monte>>>https://katiepunk.itch.io/&&&334Yopf>>>https://334yopf.itch.io/,Mukade>>>https://katiepunk.itch.io/mukade&&&Bugged Phone>>>https://334yopf.itch.io/jama-jam-bugged-phone,Bug
January 2024,Best In Show,betwixer>>>https://betwixer.itch.io/&&&Lou>>>https://loomy.itch.io/,Bug Boxes>>>https://betwixer.itch.io/bug-boxes&&&Lil' Grub Bug>>>https://loomy.itch.io/lil-grub-bug,Bug
December 2023,Best Use of Theme,sean_aiff>>>https://sean-aiff.itch.io/&&&Ashton>>>https://ashmusie.itch.io/,Amongst The Stars>>>https://sean-aiff.itch.io/floating-amongst-the-stars&&&The Triplet Stars>>>https://ashmusie.itch.io/ashton-musielewicz-the-triplet-stars,Stars
December 2023,Most Creative,Sullus>>>https://sullus.itch.io/,Magical Transformation>>>https://sullus.itch.io/magical-transformation,Stars
December 2023,Best In Show,Sullus>>>https://sullus.itch.io/,Magical Transformation>>>https://sullus.itch.io/magical-transformation,Stars
November 2023,Best Use of Theme,Gavin Hefty>>>https://incarnaation9.itch.io/,Glass Earring>>>https://incarnaation9.itch.io/glass-earring,Glass
November 2023,Most Creative,escaliburn>>>https://escaliburn.itch.io/,Haunted Mirror>>>https://escaliburn.itch.io/jama-jam-november-2023-haunted-mirror,Glass
